Data,ID,Região,ID do produto,Categoria,Pontos,Column1
11/11/2019,C215,SUL,949632246-8,Cozinha,948,11
12/28/2019,C159,CO,949632246-8,Cozinha,999,12
1/22/2019,C208,SUL,542176934-8,Cozinha,259,1
6/8/2019,C136,CO,542176934-8,Cozinha,254,6
10/5/2019,C178,SUL,941254104-X,Smartphones e Tablets,265,10
11/10/2019,C169,CO,271951398-9,Produtos para o negócio,673,11
1/3/2019,C025,SUL,281914369-5,Produtos para o negócio,760,1
2/27/2019,C159,CO,941254104-X,Smartphones e Tablets,433,2
2/13/2019,C177,CO,733547075-7,Cozinha,814,2
6/11/2019,C029,CO,542176934-8,Cozinha,917,6
7/10/2019,C152,SE,094714157-X,Smartphones e Tablets,488,7
1/24/2019,C206,NO,847676762-5,Produtos para o negócio,113,1
4/16/2019,C136,CO,733547075-7,Cozinha,520,4
7/3/2019,C182,NO,949632246-8,Cozinha,903,7
11/18/2019,C189,NE,788959641-3,Smartphones e Tablets,519,11
8/19/2019,C244,SUL,094714157-X,Smartphones e Tablets,301,8
11/27/2019,C167,NO,733547075-7,Cozinha,345,11
12/14/2019,C246,CO,542176934-8,Cozinha,505,12
11/26/2019,C124,SUL,782417101-9,Produtos para o negócio,799,11
9/19/2019,C128,CO,949632246-8,Cozinha,477,9
6/16/2019,C196,CO,949632246-8,Cozinha,930,6
2/15/2019,C125,SUL,782417101-9,Produtos para o negócio,561,2
2/23/2019,C124,SUL,941254104-X,Smartphones e Tablets,353,2
12/12/2019,C228,SUL,094714157-X,Smartphones e Tablets,938,12
2/16/2019,C185,SUL,281914369-5,Produtos para o negócio,464,2
4/15/2019,C152,SE,782417101-9,Produtos para o negócio,432,4
5/17/2019,C130,CO,788959641-3,Smartphones e Tablets,662,5
5/11/2019,C018,SUL,788959641-3,Smartphones e Tablets,485,5
11/13/2019,C147,NO,949632246-8,Cozinha,646,11
5/31/2019,C235,SUL,271951398-9,Produtos para o negócio,721,5
3/30/2019,C037,SE,542176934-8,Cozinha,476,3
4/16/2019,C153,NE,281914369-5,Produtos para o negócio,235,4
9/18/2019,C237,NO,271951398-9,Produtos para o negócio,145,9
3/7/2019,C126,NE,941254104-X,Smartphones e Tablets,338,3
4/5/2019,C214,NE,542176934-8,Cozinha,665,4
7/12/2019,C139,SE,941254104-X,Smartphones e Tablets,823,7
5/21/2019,C110,SUL,788959641-3,Smartphones e Tablets,63,5
4/4/2019,C016,SE,782417101-9,Produtos para o negócio,693,4
12/28/2019,C235,SUL,094714157-X,Smartphones e Tablets,502,12
9/7/2019,C015,NE,782417101-9,Produtos para o negócio,816,9
2/6/2019,C199,NO,271951398-9,Produtos para o negócio,831,2
10/22/2019,C143,SE,271951398-9,Produtos para o negócio,308,10
7/7/2019,C060,SE,788959641-3,Smartphones e Tablets,64,7
11/7/2019,C255,SUL,271951398-9,Produtos para o negócio,291,11
8/26/2019,C146,SE,271951398-9,Produtos para o negócio,323,8
4/3/2019,C207,CO,782417101-9,Produtos para o negócio,478,4
2/11/2019,C209,NO,949632246-8,Cozinha,922,2
6/24/2019,C162,CO,542176934-8,Cozinha,724,6
9/29/2019,C216,SE,847676762-5,Produtos para o negócio,58,9
4/21/2019,C163,SE,271951398-9,Produtos para o negócio,379,4
3/29/2019,C179,NO,094714157-X,Smartphones e Tablets,213,3
7/11/2019,C014,SE,949632246-8,Cozinha,222,7
7/26/2019,C122,NO,542176934-8,Cozinha,870,7
3/15/2019,C025,SUL,094714157-X,Smartphones e Tablets,275,3
9/19/2019,C076,SUL,542176934-8,Cozinha,645,9
11/5/2019,C106,CO,941254104-X,Smartphones e Tablets,775,11
8/14/2019,C042,NO,281914369-5,Produtos para o negócio,771,8
4/3/2019,C004,SE,782417101-9,Produtos para o negócio,56,4
3/7/2019,C200,CO,271951398-9,Produtos para o negócio,154,3
10/30/2019,C138,NE,941254104-X,Smartphones e Tablets,58,10
10/17/2019,C106,CO,094714157-X,Smartphones e Tablets,918,10
8/6/2019,C183,NE,782417101-9,Produtos para o negócio,974,8
10/18/2019,C189,NE,281914369-5,Produtos para o negócio,437,10
4/18/2019,C233,SUL,847676762-5,Produtos para o negócio,146,4
9/15/2019,C225,SUL,782417101-9,Produtos para o negócio,45,9
3/15/2019,C259,CO,788959641-3,Smartphones e Tablets,755,3
3/18/2019,C050,NE,542176934-8,Cozinha,45,3
8/15/2019,C188,NE,281914369-5,Produtos para o negócio,793,8
4/7/2019,C237,NO,542176934-8,Cozinha,920,4
2/23/2019,C136,CO,542176934-8,Cozinha,722,2
9/29/2019,C217,NO,542176934-8,Cozinha,464,9
2/25/2019,C098,SUL,788959641-3,Smartphones e Tablets,789,2
7/5/2019,C131,NO,941254104-X,Smartphones e Tablets,364,7
2/19/2019,C064,SUL,271951398-9,Produtos para o negócio,416,2
11/9/2019,C089,SUL,782417101-9,Produtos para o negócio,674,11
10/31/2019,C005,CO,281914369-5,Produtos para o negócio,554,10
9/6/2019,C065,SUL,788959641-3,Smartphones e Tablets,120,9
4/4/2019,C048,CO,941254104-X,Smartphones e Tablets,314,4
11/4/2019,C059,NE,949632246-8,Cozinha,786,11
1/31/2019,C129,SUL,733547075-7,Cozinha,70,1
7/20/2019,C186,SUL,847676762-5,Produtos para o negócio,306,7
1/2/2019,C119,NO,782417101-9,Produtos para o negócio,856,1
10/13/2019,C186,SUL,788959641-3,Smartphones e Tablets,26,10
12/22/2019,C112,NE,941254104-X,Smartphones e Tablets,977,12
1/2/2019,C262,NO,094714157-X,Smartphones e Tablets,966,1
7/15/2019,C137,CO,281914369-5,Produtos para o negócio,749,7
10/3/2019,C246,CO,733547075-7,Cozinha,865,10
7/30/2019,C182,NO,782417101-9,Produtos para o negócio,94,7
11/11/2019,C160,SUL,271951398-9,Produtos para o negócio,916,11
3/16/2019,C192,SUL,542176934-8,Cozinha,412,3
4/15/2019,C117,SUL,782417101-9,Produtos para o negócio,634,4
8/22/2019,C261,SUL,094714157-X,Smartphones e Tablets,833,8
12/18/2019,C126,NE,733547075-7,Cozinha,769,12
4/20/2019,C016,SE,271951398-9,Produtos para o negócio,770,4
1/19/2019,C225,SUL,094714157-X,Smartphones e Tablets,57,1
6/13/2019,C202,SE,941254104-X,Smartphones e Tablets,344,6
6/28/2019,C089,SUL,542176934-8,Cozinha,311,6
2/2/2019,C039,CO,847676762-5,Produtos para o negócio,319,2
10/26/2019,C220,NO,949632246-8,Cozinha,267,10
12/29/2019,C092,NE,271951398-9,Produtos para o negócio,441,12
7/21/2019,C072,SE,542176934-8,Cozinha,47,7
1/23/2019,C143,SE,847676762-5,Produtos para o negócio,300,1
9/4/2019,C076,SUL,542176934-8,Cozinha,61,9
5/6/2019,C087,CO,782417101-9,Produtos para o negócio,136,5
1/2/2019,C148,SUL,271951398-9,Produtos para o negócio,56,1
6/18/2019,C062,SUL,782417101-9,Produtos para o negócio,293,6
6/17/2019,C215,SUL,094714157-X,Smartphones e Tablets,266,6
4/15/2019,C058,NO,847676762-5,Produtos para o negócio,195,4
7/13/2019,C196,CO,949632246-8,Cozinha,65,7
1/16/2019,C106,CO,941254104-X,Smartphones e Tablets,934,1
6/22/2019,C110,SUL,949632246-8,Cozinha,508,6
3/27/2019,C085,CO,847676762-5,Produtos para o negócio,85,3
12/24/2019,C251,SE,949632246-8,Cozinha,752,12
1/31/2019,C121,SE,094714157-X,Smartphones e Tablets,986,1
6/7/2019,C118,SUL,271951398-9,Produtos para o negócio,145,6
5/6/2019,C235,SUL,733547075-7,Cozinha,77,5
12/5/2019,C132,NE,271951398-9,Produtos para o negócio,389,12
8/30/2019,C074,CO,847676762-5,Produtos para o negócio,542,8
9/4/2019,C215,SUL,094714157-X,Smartphones e Tablets,430,9
12/3/2019,C136,CO,733547075-7,Cozinha,642,12
7/8/2019,C184,SE,949632246-8,Cozinha,561,7
3/2/2019,C199,NO,271951398-9,Produtos para o negócio,552,3
8/10/2019,C117,SUL,782417101-9,Produtos para o negócio,49,8
1/24/2019,C196,CO,542176934-8,Cozinha,144,1
7/14/2019,C246,CO,281914369-5,Produtos para o negócio,355,7
1/19/2019,C138,NE,733547075-7,Cozinha,627,1
5/30/2019,C252,SE,094714157-X,Smartphones e Tablets,716,5
7/16/2019,C001,CO,782417101-9,Produtos para o negócio,615,7
9/23/2019,C002,CO,941254104-X,Smartphones e Tablets,606,9
11/14/2019,C002,CO,788959641-3,Smartphones e Tablets,41,11
12/27/2019,C172,SE,782417101-9,Produtos para o negócio,261,12
12/6/2019,C189,NE,847676762-5,Produtos para o negócio,42,12
5/28/2019,C184,SE,782417101-9,Produtos para o negócio,540,5
7/14/2019,C178,SUL,941254104-X,Smartphones e Tablets,929,7
3/9/2019,C183,NE,847676762-5,Produtos para o negócio,674,3
1/14/2019,C188,NE,782417101-9,Produtos para o negócio,605,1
3/28/2019,C158,CO,788959641-3,Smartphones e Tablets,551,3
10/26/2019,C145,SUL,733547075-7,Cozinha,948,10
3/23/2019,C149,NO,847676762-5,Produtos para o negócio,708,3
7/2/2019,C223,SUL,094714157-X,Smartphones e Tablets,471,7
5/12/2019,C053,NO,271951398-9,Produtos para o negócio,311,5
2/21/2019,C260,SUL,788959641-3,Smartphones e Tablets,895,2
5/31/2019,C205,CO,941254104-X,Smartphones e Tablets,487,5
9/15/2019,C238,SE,281914369-5,Produtos para o negócio,556,9
9/9/2019,C056,CO,941254104-X,Smartphones e Tablets,76,9
7/30/2019,C178,SUL,788959641-3,Smartphones e Tablets,798,7
2/6/2019,C215,SUL,271951398-9,Produtos para o negócio,479,2
11/30/2019,C194,SE,788959641-3,Smartphones e Tablets,739,11
6/30/2019,C035,NO,782417101-9,Produtos para o negócio,274,6
2/10/2019,C240,SE,941254104-X,Smartphones e Tablets,175,2
11/18/2019,C092,NE,788959641-3,Smartphones e Tablets,720,11
8/29/2019,C172,SE,271951398-9,Produtos para o negócio,243,8
3/30/2019,C025,SUL,094714157-X,Smartphones e Tablets,350,3
3/4/2019,C032,SUL,094714157-X,Smartphones e Tablets,504,3
1/17/2019,C177,CO,949632246-8,Cozinha,270,1
5/21/2019,C018,SUL,271951398-9,Produtos para o negócio,229,5
8/30/2019,C246,CO,094714157-X,Smartphones e Tablets,809,8
5/19/2019,C161,SUL,271951398-9,Produtos para o negócio,87,5
4/13/2019,C114,CO,271951398-9,Produtos para o negócio,851,4
5/4/2019,C099,SE,782417101-9,Produtos para o negócio,742,5
1/27/2019,C137,CO,271951398-9,Produtos para o negócio,593,1
7/31/2019,C155,SE,271951398-9,Produtos para o negócio,933,7
8/18/2019,C145,SUL,949632246-8,Cozinha,913,8
9/16/2019,C028,CO,281914369-5,Produtos para o negócio,853,9
12/22/2019,C086,SE,941254104-X,Smartphones e Tablets,591,12
2/2/2019,C116,NO,847676762-5,Produtos para o negócio,187,2
9/8/2019,C119,NO,782417101-9,Produtos para o negócio,740,9
1/6/2019,C080,SE,733547075-7,Cozinha,20,1
11/13/2019,C071,NO,271951398-9,Produtos para o negócio,531,11
3/26/2019,C059,NE,788959641-3,Smartphones e Tablets,451,3
1/22/2019,C132,NE,788959641-3,Smartphones e Tablets,929,1
10/2/2019,C049,SUL,941254104-X,Smartphones e Tablets,678,10
4/29/2019,C206,NO,281914369-5,Produtos para o negócio,30,4
1/31/2019,C122,NO,281914369-5,Produtos para o negócio,720,1
1/25/2019,C188,NE,788959641-3,Smartphones e Tablets,141,1
4/14/2019,C003,NO,782417101-9,Produtos para o negócio,287,4
5/2/2019,C037,SE,949632246-8,Cozinha,886,5
7/6/2019,C035,NO,941254104-X,Smartphones e Tablets,325,7
9/9/2019,C189,NE,094714157-X,Smartphones e Tablets,937,9
12/21/2019,C062,SUL,847676762-5,Produtos para o negócio,297,12
11/11/2019,C013,CO,271951398-9,Produtos para o negócio,775,11
5/31/2019,C249,SE,542176934-8,Cozinha,170,5
10/11/2019,C244,SUL,949632246-8,Cozinha,170,10
7/29/2019,C234,SUL,941254104-X,Smartphones e Tablets,644,7
9/10/2019,C119,NO,094714157-X,Smartphones e Tablets,927,9
4/3/2019,C227,NE,094714157-X,Smartphones e Tablets,301,4
7/4/2019,C009,NO,281914369-5,Produtos para o negócio,222,7
11/21/2019,C064,SUL,271951398-9,Produtos para o negócio,381,11
7/2/2019,C167,NO,847676762-5,Produtos para o negócio,322,7
10/27/2019,C225,SUL,782417101-9,Produtos para o negócio,652,10
1/26/2019,C180,SE,782417101-9,Produtos para o negócio,859,1
8/21/2019,C175,SE,847676762-5,Produtos para o negócio,513,8
3/8/2019,C140,NO,271951398-9,Produtos para o negócio,915,3
4/1/2019,C244,SUL,847676762-5,Produtos para o negócio,82,4
8/23/2019,C113,NE,788959641-3,Smartphones e Tablets,171,8
8/12/2019,C207,CO,271951398-9,Produtos para o negócio,208,8
6/5/2019,C083,NE,847676762-5,Produtos para o negócio,353,6
4/8/2019,C097,SUL,782417101-9,Produtos para o negócio,558,4
8/1/2019,C252,SE,782417101-9,Produtos para o negócio,656,8
1/22/2019,C232,SE,949632246-8,Cozinha,127,1
7/21/2019,C060,SE,094714157-X,Smartphones e Tablets,639,7
9/27/2019,C076,SUL,281914369-5,Produtos para o negócio,795,9
11/15/2019,C136,CO,782417101-9,Produtos para o negócio,835,11
4/29/2019,C136,CO,281914369-5,Produtos para o negócio,110,4
8/1/2019,C168,NE,733547075-7,Cozinha,357,8
5/28/2019,C095,NE,271951398-9,Produtos para o negócio,930,5
11/4/2019,C166,CO,847676762-5,Produtos para o negócio,848,11
9/30/2019,C113,NE,542176934-8,Cozinha,44,9
7/28/2019,C105,CO,941254104-X,Smartphones e Tablets,882,7
12/2/2019,C226,SUL,542176934-8,Cozinha,577,12
2/8/2019,C014,SE,847676762-5,Produtos para o negócio,444,2
10/16/2019,C176,NO,271951398-9,Produtos para o negócio,988,10
3/9/2019,C106,CO,542176934-8,Cozinha,82,3
2/5/2019,C239,SE,271951398-9,Produtos para o negócio,67,2
10/9/2019,C254,NO,782417101-9,Produtos para o negócio,162,10
6/11/2019,C001,CO,733547075-7,Cozinha,650,6
7/11/2019,C111,NO,281914369-5,Produtos para o negócio,973,7
6/10/2019,C002,CO,941254104-X,Smartphones e Tablets,954,6
11/24/2019,C115,SE,733547075-7,Cozinha,795,11
11/7/2019,C144,NE,949632246-8,Cozinha,878,11
3/19/2019,C049,SUL,788959641-3,Smartphones e Tablets,30,3
11/26/2019,C208,SUL,094714157-X,Smartphones e Tablets,881,11
3/8/2019,C031,SUL,271951398-9,Produtos para o negócio,158,3
3/19/2019,C171,NE,782417101-9,Produtos para o negócio,693,3
9/17/2019,C183,NE,542176934-8,Cozinha,255,9
11/26/2019,C014,SE,847676762-5,Produtos para o negócio,463,11
12/9/2019,C053,NO,782417101-9,Produtos para o negócio,885,12
12/2/2019,C012,NO,949632246-8,Cozinha,343,12
11/28/2019,C217,NO,733547075-7,Cozinha,961,11
8/5/2019,C262,NO,094714157-X,Smartphones e Tablets,600,8
4/12/2019,C165,CO,733547075-7,Cozinha,822,4
12/13/2019,C060,SE,733547075-7,Cozinha,713,12
12/11/2019,C033,NE,733547075-7,Cozinha,539,12
5/14/2019,C202,SE,094714157-X,Smartphones e Tablets,47,5
7/27/2019,C139,SE,271951398-9,Produtos para o negócio,336,7
7/1/2019,C032,SUL,847676762-5,Produtos para o negócio,24,7
4/15/2019,C243,SE,281914369-5,Produtos para o negócio,463,4
8/19/2019,C056,CO,094714157-X,Smartphones e Tablets,82,8
2/23/2019,C246,CO,733547075-7,Cozinha,65,2
11/17/2019,C245,CO,542176934-8,Cozinha,593,11
1/21/2019,C167,NO,941254104-X,Smartphones e Tablets,708,1
10/31/2019,C233,SUL,949632246-8,Cozinha,604,10
4/5/2019,C194,SE,281914369-5,Produtos para o negócio,871,4
8/28/2019,C085,CO,271951398-9,Produtos para o negócio,146,8
8/14/2019,C093,NE,847676762-5,Produtos para o negócio,311,8
9/12/2019,C087,CO,949632246-8,Cozinha,386,9
4/9/2019,C228,SUL,941254104-X,Smartphones e Tablets,111,4
1/19/2019,C205,CO,733547075-7,Cozinha,45,1
5/24/2019,C175,SE,788959641-3,Smartphones e Tablets,152,5
10/7/2019,C154,SUL,949632246-8,Cozinha,531,10
2/15/2019,C206,NO,542176934-8,Cozinha,917,2
7/21/2019,C071,NO,542176934-8,Cozinha,33,7
12/12/2019,C197,SE,847676762-5,Produtos para o negócio,84,12
2/28/2019,C248,NE,782417101-9,Produtos para o negócio,315,2
1/11/2019,C037,SE,271951398-9,Produtos para o negócio,129,1
11/4/2019,C031,SUL,094714157-X,Smartphones e Tablets,86,11
4/26/2019,C177,CO,281914369-5,Produtos para o negócio,237,4
8/1/2019,C261,SUL,941254104-X,Smartphones e Tablets,144,8
6/4/2019,C203,NE,949632246-8,Cozinha,21,6
11/30/2019,C043,CO,271951398-9,Produtos para o negócio,555,11
8/1/2019,C002,CO,733547075-7,Cozinha,604,8
8/7/2019,C224,CO,847676762-5,Produtos para o negócio,836,8
3/7/2019,C227,NE,788959641-3,Smartphones e Tablets,654,3
6/20/2019,C033,NE,094714157-X,Smartphones e Tablets,582,6
9/14/2019,C165,CO,733547075-7,Cozinha,874,9
2/23/2019,C185,SUL,271951398-9,Produtos para o negócio,201,2
1/20/2019,C115,SE,782417101-9,Produtos para o negócio,319,1
7/21/2019,C073,NO,281914369-5,Produtos para o negócio,696,7
8/5/2019,C210,NE,094714157-X,Smartphones e Tablets,503,8
4/20/2019,C145,SUL,847676762-5,Produtos para o negócio,662,4
5/20/2019,C009,NO,788959641-3,Smartphones e Tablets,153,5
6/16/2019,C081,NE,542176934-8,Cozinha,739,6
6/12/2019,C135,NE,733547075-7,Cozinha,26,6
4/13/2019,C065,SUL,281914369-5,Produtos para o negócio,436,4
1/19/2019,C176,NO,733547075-7,Cozinha,163,1
11/7/2019,C125,SUL,941254104-X,Smartphones e Tablets,989,11
4/27/2019,C015,NE,847676762-5,Produtos para o negócio,634,4
9/29/2019,C197,SE,094714157-X,Smartphones e Tablets,667,9
9/6/2019,C011,NO,847676762-5,Produtos para o negócio,417,9
3/5/2019,C261,SUL,949632246-8,Cozinha,578,3
12/15/2019,C220,NO,847676762-5,Produtos para o negócio,87,12
4/6/2019,C165,CO,733547075-7,Cozinha,44,4
2/4/2019,C258,CO,542176934-8,Cozinha,494,2
4/12/2019,C180,SE,949632246-8,Cozinha,84,4
11/12/2019,C125,SUL,542176934-8,Cozinha,638,11
2/13/2019,C224,CO,271951398-9,Produtos para o negócio,454,2
1/4/2019,C043,CO,788959641-3,Smartphones e Tablets,187,1
4/25/2019,C223,SUL,094714157-X,Smartphones e Tablets,441,4
8/27/2019,C030,CO,281914369-5,Produtos para o negócio,524,8
4/24/2019,C206,NO,542176934-8,Cozinha,136,4
1/1/2019,C011,NO,941254104-X,Smartphones e Tablets,429,1
11/17/2019,C110,SUL,271951398-9,Produtos para o negócio,137,11
8/7/2019,C005,CO,941254104-X,Smartphones e Tablets,419,8
10/26/2019,C122,NO,941254104-X,Smartphones e Tablets,804,10
9/12/2019,C019,SE,847676762-5,Produtos para o negócio,552,9
5/25/2019,C093,NE,847676762-5,Produtos para o negócio,499,5
6/26/2019,C101,SUL,271951398-9,Produtos para o negócio,326,6
2/11/2019,C030,CO,542176934-8,Cozinha,307,2
3/27/2019,C040,NE,094714157-X,Smartphones e Tablets,694,3
10/8/2019,C071,NO,542176934-8,Cozinha,440,10
8/29/2019,C110,SUL,847676762-5,Produtos para o negócio,630,8
12/8/2019,C238,SE,542176934-8,Cozinha,246,12
12/17/2019,C087,CO,733547075-7,Cozinha,528,12
4/7/2019,C088,SUL,281914369-5,Produtos para o negócio,268,4
5/25/2019,C180,SE,733547075-7,Cozinha,461,5
4/20/2019,C257,NE,733547075-7,Cozinha,105,4
5/23/2019,C199,NO,782417101-9,Produtos para o negócio,192,5
8/27/2019,C107,NO,542176934-8,Cozinha,851,8
6/12/2019,C175,SE,847676762-5,Produtos para o negócio,223,6
10/7/2019,C182,NO,788959641-3,Smartphones e Tablets,452,10
5/29/2019,C233,SUL,949632246-8,Cozinha,496,5
8/8/2019,C113,NE,949632246-8,Cozinha,72,8
11/13/2019,C156,NO,788959641-3,Smartphones e Tablets,443,11
12/16/2019,C044,SE,542176934-8,Cozinha,505,12
9/17/2019,C247,CO,733547075-7,Cozinha,417,9
4/23/2019,C019,SE,281914369-5,Produtos para o negócio,326,4
2/13/2019,C138,NE,949632246-8,Cozinha,865,2
4/25/2019,C010,NE,788959641-3,Smartphones e Tablets,840,4
7/15/2019,C154,SUL,788959641-3,Smartphones e Tablets,733,7
5/29/2019,C162,CO,281914369-5,Produtos para o negócio,561,5
5/19/2019,C179,NO,941254104-X,Smartphones e Tablets,778,5
2/15/2019,C119,NO,788959641-3,Smartphones e Tablets,471,2
7/31/2019,C243,SE,847676762-5,Produtos para o negócio,56,7
2/2/2019,C025,SUL,941254104-X,Smartphones e Tablets,347,2
2/14/2019,C005,CO,271951398-9,Produtos para o negócio,557,2
10/12/2019,C097,SUL,542176934-8,Cozinha,45,10
3/27/2019,C174,SUL,271951398-9,Produtos para o negócio,913,3
7/7/2019,C183,NE,847676762-5,Produtos para o negócio,251,7
12/10/2019,C013,CO,733547075-7,Cozinha,519,12
4/19/2019,C011,NO,941254104-X,Smartphones e Tablets,395,4
1/6/2019,C152,SE,733547075-7,Cozinha,387,1
6/7/2019,C100,NO,788959641-3,Smartphones e Tablets,512,6
8/23/2019,C247,CO,281914369-5,Produtos para o negócio,996,8
1/27/2019,C213,NO,542176934-8,Cozinha,338,1
4/14/2019,C061,NO,847676762-5,Produtos para o negócio,608,4
2/1/2019,C209,NO,847676762-5,Produtos para o negócio,926,2
7/25/2019,C213,NO,542176934-8,Cozinha,696,7
12/1/2019,C026,SUL,542176934-8,Cozinha,623,12
3/8/2019,C239,SE,094714157-X,Smartphones e Tablets,865,3
5/7/2019,C105,CO,847676762-5,Produtos para o negócio,988,5
2/24/2019,C090,NO,271951398-9,Produtos para o negócio,214,2
4/20/2019,C181,NO,788959641-3,Smartphones e Tablets,262,4
11/9/2019,C215,SUL,782417101-9,Produtos para o negócio,749,11
2/9/2019,C229,NE,949632246-8,Cozinha,274,2
10/14/2019,C155,SE,949632246-8,Cozinha,881,10
11/19/2019,C063,NO,271951398-9,Produtos para o negócio,963,11
11/20/2019,C147,NO,733547075-7,Cozinha,593,11
12/4/2019,C190,NO,094714157-X,Smartphones e Tablets,53,12
11/14/2019,C014,SE,733547075-7,Cozinha,918,11
4/11/2019,C010,NE,281914369-5,Produtos para o negócio,32,4
1/4/2019,C215,SUL,542176934-8,Cozinha,202,1
11/25/2019,C055,SUL,542176934-8,Cozinha,232,11
2/25/2019,C007,NE,271951398-9,Produtos para o negócio,663,2
1/20/2019,C009,NO,281914369-5,Produtos para o negócio,197,1
1/24/2019,C084,NO,941254104-X,Smartphones e Tablets,771,1
11/1/2019,C125,SUL,542176934-8,Cozinha,479,11
4/20/2019,C042,NO,271951398-9,Produtos para o negócio,192,4
1/7/2019,C025,SUL,782417101-9,Produtos para o negócio,62,1
3/13/2019,C009,NO,733547075-7,Cozinha,176,3
8/9/2019,C244,SUL,782417101-9,Produtos para o negócio,605,8
9/25/2019,C076,SUL,281914369-5,Produtos para o negócio,136,9
9/22/2019,C135,NE,542176934-8,Cozinha,495,9
4/22/2019,C163,SE,281914369-5,Produtos para o negócio,287,4
10/27/2019,C233,SUL,094714157-X,Smartphones e Tablets,209,10
9/13/2019,C136,CO,941254104-X,Smartphones e Tablets,774,9
3/30/2019,C208,SUL,949632246-8,Cozinha,477,3
10/5/2019,C039,CO,782417101-9,Produtos para o negócio,792,10
9/12/2019,C123,SUL,949632246-8,Cozinha,537,9
8/9/2019,C143,SE,733547075-7,Cozinha,392,8
3/1/2019,C170,NO,847676762-5,Produtos para o negócio,56,3
5/3/2019,C007,NE,281914369-5,Produtos para o negócio,128,5
3/18/2019,C194,SE,733547075-7,Cozinha,695,3
8/5/2019,C063,NO,788959641-3,Smartphones e Tablets,758,8
11/16/2019,C072,SE,847676762-5,Produtos para o negócio,616,11
6/8/2019,C062,SUL,949632246-8,Cozinha,592,6
6/24/2019,C025,SUL,782417101-9,Produtos para o negócio,970,6
5/14/2019,C126,NE,281914369-5,Produtos para o negócio,83,5
1/28/2019,C228,SUL,094714157-X,Smartphones e Tablets,468,1
7/9/2019,C197,SE,542176934-8,Cozinha,930,7
5/29/2019,C238,SE,733547075-7,Cozinha,523,5
4/10/2019,C057,CO,281914369-5,Produtos para o negócio,950,4
7/16/2019,C101,SUL,847676762-5,Produtos para o negócio,512,7
11/3/2019,C070,NE,733547075-7,Cozinha,955,11
7/30/2019,C108,NE,542176934-8,Cozinha,221,7
8/17/2019,C213,NO,847676762-5,Produtos para o negócio,822,8
2/15/2019,C147,NO,847676762-5,Produtos para o negócio,327,2
5/13/2019,C037,SE,788959641-3,Smartphones e Tablets,521,5
5/22/2019,C221,CO,782417101-9,Produtos para o negócio,810,5
4/18/2019,C158,CO,788959641-3,Smartphones e Tablets,458,4
1/23/2019,C045,CO,733547075-7,Cozinha,394,1
12/28/2019,C157,CO,847676762-5,Produtos para o negócio,699,12
6/13/2019,C220,NO,542176934-8,Cozinha,363,6
7/8/2019,C197,SE,542176934-8,Cozinha,802,7
6/8/2019,C147,NO,271951398-9,Produtos para o negócio,639,6
1/5/2019,C049,SUL,733547075-7,Cozinha,302,1
3/20/2019,C018,SUL,542176934-8,Cozinha,786,3
12/25/2019,C080,SE,271951398-9,Produtos para o negócio,118,12
12/23/2019,C101,SUL,094714157-X,Smartphones e Tablets,202,12
10/18/2019,C126,NE,281914369-5,Produtos para o negócio,497,10
11/19/2019,C036,SUL,949632246-8,Cozinha,849,11
3/5/2019,C141,NE,281914369-5,Produtos para o negócio,194,3
1/26/2019,C172,SE,271951398-9,Produtos para o negócio,400,1
10/3/2019,C006,NO,788959641-3,Smartphones e Tablets,832,10
7/12/2019,C184,SE,949632246-8,Cozinha,248,7
12/5/2019,C135,NE,941254104-X,Smartphones e Tablets,47,12
1/8/2019,C257,NE,788959641-3,Smartphones e Tablets,75,1
7/19/2019,C144,NE,782417101-9,Produtos para o negócio,423,7
6/29/2019,C232,SE,281914369-5,Produtos para o negócio,964,6
4/7/2019,C244,SUL,094714157-X,Smartphones e Tablets,656,4
7/24/2019,C023,NO,542176934-8,Cozinha,32,7
7/10/2019,C110,SUL,733547075-7,Cozinha,355,7
1/13/2019,C240,SE,281914369-5,Produtos para o negócio,50,1
6/24/2019,C045,CO,281914369-5,Produtos para o negócio,134,6
8/17/2019,C160,SUL,941254104-X,Smartphones e Tablets,840,8
6/7/2019,C088,SUL,949632246-8,Cozinha,447,6
3/20/2019,C261,SUL,271951398-9,Produtos para o negócio,312,3
6/17/2019,C180,SE,788959641-3,Smartphones e Tablets,918,6
5/18/2019,C015,NE,949632246-8,Cozinha,891,5
5/19/2019,C076,SUL,782417101-9,Produtos para o negócio,194,5
1/13/2019,C124,SUL,782417101-9,Produtos para o negócio,635,1
4/5/2019,C131,NO,094714157-X,Smartphones e Tablets,526,4
6/10/2019,C035,NO,281914369-5,Produtos para o negócio,582,6
1/9/2019,C200,CO,281914369-5,Produtos para o negócio,919,1
10/29/2019,C054,NO,271951398-9,Produtos para o negócio,293,10
12/11/2019,C024,NE,941254104-X,Smartphones e Tablets,217,12
6/15/2019,C056,CO,281914369-5,Produtos para o negócio,857,6
1/14/2019,C048,CO,271951398-9,Produtos para o negócio,341,1
11/25/2019,C057,CO,788959641-3,Smartphones e Tablets,558,11
8/27/2019,C122,NO,094714157-X,Smartphones e Tablets,161,8
10/21/2019,C031,SUL,847676762-5,Produtos para o negócio,37,10
10/18/2019,C167,NO,733547075-7,Cozinha,121,10
6/4/2019,C153,NE,542176934-8,Cozinha,666,6
